stress_test_id,claim_id,run_group,protocol_variant_id,summary_scope,outer_random_state,candidate_id,comparison_role,candidate_model_id,comparison_model_id,metric_name,metric_direction,n_blocks,advantage_mean,advantage_std_population,advantage_min,advantage_max,candidate_positive_blocks,candidate_negative_blocks,candidate_zero_blocks,row_status,interpretation_allowed_ru
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260517,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,roc_auc,higher_is_better,10,0.4851988146299252,0.0006961322692585419,0.48409526960942206,0.48617467546822324,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260527,openml_miniboone_41150,lower_bound_model,hist_gradient_boosting,dummy_prior,roc_auc,higher_is_better,10,0.4851422887848543,0.0007801572839528712,0.4839191521694255,0.48650242756827355,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,all_outer_random_states,all,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,30,0.09032903149423469,0.004062338107976685,0.082055572531614,0.10197015172316615,30,0,0,stage05_split_protocol_sensitivity_summary,Сводка по всем зафиксированным зернам случайности протокола 10x1; не объединять с 5x2 без отдельного evidence record.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260507,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,10,0.090554416356108,0.0018987751188391767,0.08806194196277839,0.09382910133867262,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260517,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,10,0.0902950454101916,0.006299400841363075,0.082055572531614,0.10197015172316615,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260527,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,average_precision,higher_is_better,10,0.09013763271640453,0.0024761639518507492,0.08747405424099253,0.09493706217753717,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,all_outer_random_states,all,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,30,0.09755191112275499,0.0028832847478460965,0.09330594388188374,0.10475874043460243,30,0,0,stage05_split_protocol_sensitivity_summary,Сводка по всем зафиксированным зернам случайности протокола 10x1; не объединять с 5x2 без отдельного evidence record.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260507,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,10,0.09773688710258271,0.0017930739412050064,0.09517943492601688,0.10152065481706618,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260517,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,10,0.09764081123455594,0.0026051024754500554,0.09358314996757233,0.10328565069957318,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
ST05_03a_split_protocol_10x1,miniboone_hgb_vs_logreg_average_precision_v01,nested_split_sensitivity_v01,nested_10x1_seed_grid_v01,single_outer_random_state,20260527,openml_miniboone_41150,primary_baseline,hist_gradient_boosting,logistic_regression,balanced_accuracy,higher_is_better,10,0.0972780350311263,0.0038498301636181406,0.09330594388188374,0.10475874043460243,10,0,0,stage05_split_protocol_sensitivity_summary,Сводка по одному зерну случайности внешнего разбиения 10x1; используется только внутри ST05_03a.
